,Rank,Name,Team,Cl,Position,G,STFL,ATFL,Tackle Yds,TTFL,TFLPG
0,1,Nate Harvey,East Carolina,Sr.,DL,12,23,5,125,25.5,2.1
1,2,Jaylon Ferguson,Louisiana Tech,Sr.,DL,13,22,8,136,26.0,2.0
2,3,E.J. Ejiya,North Texas,Sr.,LB,13,20,10,98,25.0,1.9
3,4,Sutton Smith,Northern Ill.,Jr.,DL,14,23,7,141,26.5,1.9
4,5,Colin Schooler,Arizona,So.,LB,12,19,5,69,21.5,1.8
5,6,Josh Allen,Kentucky,Sr.,LB,13,21,1,118,21.5,1.7
6,7,David Long Jr.,West Virginia,Jr.,LB,12,18,2,70,19.0,1.6
7,-,Maxx Crosby,Eastern Mich.,Jr.,DL,12,13,12,83,19.0,1.6
8,9,Kenny Willekes,Michigan St.,Jr.,DL,13,15,11,84,20.5,1.6
9,10,Chase Hansen,Utah,Sr.,LB,14,19,6,81,22.0,1.6
10,11,Oshane Ximines,Old Dominion,Sr.,DL,12,16,5,88,18.5,1.5
11,12,Yetur Gross-Matos,Penn St.,So.,DL,13,18,4,88,20.0,1.5
12,13,Gerald Willis III,Miami (FL),Sr.,DL,12,15,6,58,18.0,1.5
13,14,Alex Highsmith,Charlotte,Jr.,DL,12,13,9,56,17.5,1.5
14,15,Ronheen Bingham,Arkansas St.,Sr.,DL,13,13,11,90,18.5,1.4
15,16,Alton Robinson,Syracuse,Jr.,DL,12,17,0,78,17.0,1.4
16,17,Ben Banogu,TCU,Sr.,DL,13,17,2,75,18.0,1.4
17,-,Brandon Garner,North Texas,Sr.,LB,13,15,6,94,18.0,1.4
18,19,Bryce Huff,Memphis,Jr.,LB,14,17,4,80,19.0,1.4
19,20,Jachai Polite,Florida,Jr.,DL,13,14,7,69,17.5,1.3
20,21,Jamal Davis II,Akron,Sr.,LB,12,14,4,72,16.0,1.3
21,22,Titus Davis,UCF,Sr.,LB,13,13,8,58,17.0,1.3
22,-,Chase Winovich,Michigan,Sr.,DL,13,13,8,66,17.0,1.3
23,-,Jeffery Simmons,Mississippi St.,Jr.,DL,13,12,10,49,17.0,1.3
24,-,Jonathan Garvin,Miami (FL),So.,DL,13,8,18,63,17.0,1.3
25,26,Clelin Ferrell,Clemson,Jr.,DL,15,16,7,82,19.5,1.3
26,-,Quinnen Williams,Alabama,So.,DL,15,16,7,88,19.5,1.3
27,28,Mustafa Johnson,Colorado,So.,DL,12,14,3,66,15.5,1.3
28,-,Brian Burns,Florida St.,Jr.,DL,12,13,5,112,15.5,1.3
29,-,David Griffith,La.-Monroe,Sr.,LB,12,10,11,44,15.5,1.3
30,31,Charles Omenihu,Texas,Sr.,DL,14,16,4,78,18.0,1.3
31,32,A.J. Epenesa,Iowa,So.,DL,13,16,1,81,16.5,1.3
32,-,Cortez Broughton,Cincinnati,Sr.,DL,13,14,5,57,16.5,1.3
33,-,Ryan Guthrie,Syracuse,Sr.,LB,13,14,5,64,16.5,1.3
34,-,Gary Johnson,Texas,Sr.,LB,13,13,7,57,16.5,1.3
35,36,Mike Danna,Central Mich.,Jr.,DL,12,14,2,90,15.0,1.3
36,-,Nate Landman,Colorado,So.,LB,12,14,2,49,15.0,1.3
37,-,Blake Cashman,Minnesota,Sr.,LB,12,13,4,51,15.0,1.3
38,-,Zach Allen,Boston College,Sr.,DL,12,12,6,67,15.0,1.3
39,-,Kyran Mitchell,SMU,Sr.,LB,12,11,8,43,15.0,1.3
40,-,Korey Rush,Nevada,Sr.,DL,10,11,3,56,12.5,1.3
41,-,Nico Sawtelle,South Fla.,Jr.,LB,6,5,5,25,7.5,1.3
42,-,Ryan Connelly,Wisconsin,Sr.,LB,2,2,1,7,2.5,1.3
43,-,Carter Coughlin,Minnesota,Jr.,LB,2,2,1,4,2.5,1.3
44,-,Landis Durham,Texas A&M,Sr.,LB,2,2,1,3,2.5,1.3
45,-,Chauncey Gardner-Johnson,Florida,Jr.,DB,2,2,1,12,2.5,1.3
46,-,Brandon Garner,North Texas,Sr.,LB,2,2,1,17,2.5,1.3
47,-,Frankie Griffin,Texas St.,Sr.,LB,2,2,1,18,2.5,1.3
48,-,Jalen Jelks,Oregon,Sr.,DL,2,2,1,20,2.5,1.3
49,-,Kyle Johnson,Air Force,Jr.,LB,2,2,1,8,2.5,1.3
50,-,Brenndan Johnson,UTSA,So.,DB,2,2,1,5,2.5,1.3
51,-,Khalid Kareem,Notre Dame,Jr.,DL,2,2,1,17,2.5,1.3
52,-,Jamie King,North Texas,Sr.,WR,2,2,1,10,2.5,1.3
53,-,Khalil Ladler,Virginia Tech,So.,DB,2,2,1,5,2.5,1.3
54,-,Bailey Laolagi,UNLV,Sr.,LB,2,2,1,12,2.5,1.3
55,-,Kirk Livingstone,South Fla.,Jr.,DL,2,2,1,6,2.5,1.3
56,-,Keith Loneker Jr.,Kansas,Sr.,LB,2,2,1,9,2.5,1.3
57,-,David Long,West Virginia,Jr.,LB,2,2,1,6,2.5,1.3
58,-,Carlton Martial,Troy,Fr.,LB,2,2,1,4,2.5,1.3
59,-,Kyran Mitchell,SMU,Sr.,LB,2,2,1,6,2.5,1.3
60,-,Kenneth Murray,Oklahoma,So.,LB,2,2,1,12,2.5,1.3
61,-,Del'Shawn Phillips,Illinois,Sr.,LB,2,2,1,5,2.5,1.3
62,-,Hunter Reese,Troy,Sr.,DL,2,2,1,9,2.5,1.3
63,-,Owen Roberts,San Jose St.,Sr.,DL,2,2,1,10,2.5,1.3
64,-,Merlin Robertson,Arizona St.,Fr.,LB,2,2,1,16,2.5,1.3
65,-,Nico Sawtelle,South Fla.,Jr.,LB,2,2,1,7,2.5,1.3
66,-,Darius Slade,Arizona St.,Jr.,DL,2,2,1,18,2.5,1.3
67,-,Jonathan Smith,North Carolina,Jr.,LB,2,2,1,15,2.5,1.3
68,-,Darius Stills,West Virginia,So.,DL,2,2,1,5,2.5,1.3
69,-,Mika Tafua,Utah,Fr.,DL,2,2,1,4,2.5,1.3
70,-,Tyree Thompson,UCLA,Jr.,LB,2,2,1,3,2.5,1.3
71,-,Armon Watts,Arkansas,Sr.,OL,2,2,1,12,2.5,1.3
72,-,Rashad Weaver,Pittsburgh,So.,DL,2,2,1,10,2.5,1.3
73,-,Porter Gustin,Southern California,Sr.,LB,2,1,3,11,2.5,1.3
74,-,Mark Jackson,Oklahoma,Jr.,LB,2,1,3,9,2.5,1.3
75,-,Fitzgerald Mofor,UAB,Jr.,LB,2,1,3,2,2.5,1.3
76,-,Cordrea Tankersley,Clemson,Jr.,DB,1,1,1,2,1.5,1.5
77,-,Nate Terhune,Kent St.,Sr.,DL,1,1,1,3,1.5,1.5
78,-,Taylor Timmons,New Mexico,Jr.,DL,1,1,1,5,1.5,1.5
79,-,John Voit,Army West Point,So.,DL,1,1,1,3,1.5,1.5
80,-,Fred Warner,BYU,So.,LB,1,1,1,8,1.5,1.5
81,-,Alonzo Williams,Texas A&M,Sr.,DL,1,1,1,2,1.5,1.5
82,-,Treyvon Williams,FIU,Jr.,LB,1,1,1,2,1.5,1.5
83,-,Demetrius Woodard,Texas St.,Sr.,DB,1,1,1,14,1.5,1.5
84,-,Dravious Wright,North Carolina St.,Jr.,DB,1,1,1,7,1.5,1.5
85,-,Kentrell Brothers,Missouri,Sr.,LB,1,0,3,5,1.5,1.5
